"","names","rating","team"
"1","Shubman Gill","830","
                            
                            IND
                            830
                        "
"2","Babar Azam","824","PAK"
"3","Quinton de Kock","771","SA"
"4","Virat Kohli","770","IND"
"5","David Warner","743","AUS"
"6","Rohit Sharma","739","IND"
"7","Rassie van der Dussen","730","SA"
"8","Harry Tector","729","IRE"
"9","Heinrich Klaasen","725","SA"
"10","Dawid Malan","704","ENG"
"11","Mohammed Siraj","709","
                            
                            IND
                            709
                        "
"12","Keshav Maharaj","694","SA"
"13","Adam Zampa","662","AUS"
"14","Kuldeep Yadav","661","IND"
"15","Shaheen Afridi","658","PAK"
"16","Josh Hazlewood","658","AUS"
"17","Rashid Khan","655","AFG"
"18","Jasprit Bumrah","654","IND"
"19","Trent Boult","638","NZ"
"20","Mohammad Shami","635","IND"
"21","Shakib Al Hasan","327","
                            
                            BAN
                            327
                        "
"22","Mohammad Nabi","290","AFG"
"23","Sikandar Raza","287","ZIM"
"24","Rashid Khan","263","AFG"
"25","Assad Vala","248","PNG"
"26","Glenn Maxwell","236","AUS"
"27","Zeeshan Maqsood","235","OMA"
"28","Marco Jansen","233","SA"
"29","Mitchell Santner","226","NZ"
"30","Ravindra Jadeja","225","IND"
"31","Shubman Gill","830","
                            
                            IND
                            830
                        "
"32","Babar Azam","824","PAK"
"33","Quinton de Kock","771","SA"
"34","Virat Kohli","770","IND"
"35","David Warner","743","AUS"
"36","Rohit Sharma","739","IND"
"37","Rassie van der Dussen","730","SA"
"38","Harry Tector","729","IRE"
"39","Heinrich Klaasen","725","SA"
"40","Dawid Malan","704","ENG"
"41","Mohammed Siraj","709","
                            
                            IND
                            709
                        "
"42","Keshav Maharaj","694","SA"
"43","Adam Zampa","662","AUS"
"44","Kuldeep Yadav","661","IND"
"45","Shaheen Afridi","658","PAK"
"46","Josh Hazlewood","658","AUS"
"47","Rashid Khan","655","AFG"
"48","Jasprit Bumrah","654","IND"
"49","Trent Boult","638","NZ"
"50","Mohammad Shami","635","IND"
"51","Shakib Al Hasan","327","
                            
                            BAN
                            327
                        "
"52","Mohammad Nabi","290","AFG"
"53","Sikandar Raza","287","ZIM"
"54","Rashid Khan","263","AFG"
"55","Assad Vala","248","PNG"
"56","Glenn Maxwell","236","AUS"
"57","Zeeshan Maqsood","235","OMA"
"58","Marco Jansen","233","SA"
"59","Mitchell Santner","226","NZ"
"60","Ravindra Jadeja","225","IND"
